ITEM NO.,PART NUMBER,DESCRIPTION,QTY.
1,harmonic-base,,1
2,tube-frame,,4
3,corner-bracket,,4
4,rocker-arm-support,,1
5,top-frame,,1
6,cone-gear-shaft,,1
7,crank-drive-gear,,1
8,cone-gear,,1
9,cone-gear,,1
10,cone-gear,,1
11,cone-gear,,1
12,cone-gear,,1
13,cone-gear,,1
14,cone-gear,,1
15,cone-gear,,1
16,cone-gear,,1
17,cone-gear,,1
18,cone-gear,,1
19,cone-gear,,1
20,cone-gear,,1
21,cone-gear,,1
22,cone-gear,,1
23,cone-gear,,1
24,cone-gear,,1
25,cone-gear,,1
26,cone-gear,,1
27,cone-gear,,1
28,cylinder-gear-shaft,,1
29,cylinder-gear,,20
30,crankshaft,,1
31,crank-pinion,,1
32,transgear-removable,,1
33,crank-arm,,1
34,crank-handle,,1
35,crank-pedestal,,1
36,arbor-pedestal,,1
37,cone-pivot-post,,1
38,cone-knob-post,,1
39,alignment-pinion,,1
40,pinion-bracket,,2
41,pinion-pivot-block,,2
42,pinion-pivot-shaft,,1
43,pinion-lever,,1
44,pivot-shaft,,1
45,fulcrum-shaft,,1
46,pivot-ball-mount,,4
47,rocker-arm,,20
48,connecting-rod,,20
49,amplitude-bar,,20
50,channel-lever,,20
51,channel-spring-installed,,20
52,pivot-bushing,,19
53,lever-bushing,,19
54,summing-lever,,1
55,knife-mount,,1
56,top-crossbar,,1
57,knife-stay,,1
58,boss-hook,,1
59,counter-spring,,1
60,gooseneck,,1
61,gooseneck-clamp,,1
62,magnifying-bracket,,1
63,magnifying-lever,,1
64,magnifying-clamp,,1
65,thumb-screw,,1
66,magnifying-vertical-rod,,1
67,output-fixture,,1
68,support-bar,,2
69,column-clamp,,5
70,wheel-bar,,1
71,wheel-axle,,1
72,magnifying-wheel,,1
73,platen,,1
74,platen-rack,,1
75,platen-clip,,2
76,platen-paper,,1
77,a-frame,,1
78,pinion-bar,,1
79,transgear-stub,,1
80,rack-pinion,,1
81,transgear-latch,,1
82,transgear-knob-shaft,,1
83,transgear-pinion,,1
84,transgear-removable,,1
85,drive-chain,,1
86,pen-hanger,,1
87,pen-rod,,1
88,pen-v-block,,1
89,pen-marker,,1
90,pen-frame,,1
91,pen-set-screw,,1
92,measuring-stick,,1
93,transgear-removable,,1
